Inhalt;;;;;;;;;;;;;;;;;;;
1 Gesamtwanderung;;;;;;;;;;;;;;;;;;;
1.2.1 Wanderungen über die Grenzen der Bundesländer *;;;;;;;;;;;;;;;;;;;
Zuzüge;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
Bundesland;Personenkreis;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016 1;2017 2;;;
;;;;;;;;;;;;;;;;;;;
Saarland;Deutsche;10806;10969;10545;10295;10625;11425;10782;11278;11612;11152;11540;11176;11036;11072;11327;;;
;Nichtdeutsche;7269;7171;6775;6407;6710;7151;7627;8013;9083;10686;11901;15058;24316;22112;16181;;;
;zusammen;18075;18140;17320;16702;17335;18576;18409;19291;20695;21838;23441;26234;35352;33184;27508;;;
;;;;;;;;;;;;;;;;;;;
Sachsen;Deutsche;43696;44073;44602;44131;44395;46274;46791;46919;50898;50490;50348;50660;48755;49809;50414;;;
;Nichtdeutsche;21954;20885;18005;17668;16904;17525;19453;20520;23290;27029;31016;40821;68569;54186;46750;;;
;zusammen;65650;64958;62607;61799;61299;63799;66244;67439;74188;77519;81364;91481;117324;103995;97164;;;
;;;;;;;;;;;;;;;;;;;
Sachsen-Anhalt;Deutsche;28722;27453;28267;24903;25723;26276;27707;28000;29122;28285;28276;28330;27855;29102;28743;;;
;Nichtdeutsche;11413;11846;9438;8124;8042;8295;8963;8990;10525;12323;15777;22636;46510;34582;26871;;;
;zusammen;40135;39299;37705;33027;33765;34571;36670;36990;39647;40608;44053;50966;74365;63684;55614;;;
;;;;;;;;;;;;;;;;;;;
Schleswig-Holstein;Deutsche;59460;60344;57312;56085;57617;59086;59384;59067;59862;58317;59685;58092;57361;57744;55500;;;
;Nichtdeutsche;17898;17547;17222;16704;16254;14407;16359;16965;20584;23155;28254;36808;54300;62491;40875;;;
;zusammen;77358;77891;74534;72789;73871;73493;75743;76032;80446;81472;87939;94900;111661;120235;96375;;;
;;;;;;;;;;;;;;;;;;;
Thüringen;Deutsche;25881;25180;24379;23573;24655;26512;27151;27190;28245;27561;27198;26675;25775;26189;25665;;;
;Nichtdeutsche;7690;7980;6738;6579;6823;7148;7581;8279;10723;13438;16425;22867;46060;30579;28265;;;
;zusammen;33571;33160;31117;30152;31478;33660;34732;35469;38968;40999;43623;49542;71835;56768;53930;;;
;;;;;;;;;;;;;;;;;;;
     Deutschland;Deutsche;1138986;1135256;1069695;1031645;1056608;1081787;1066580;1049815;1091625;1061760;1057740;1041385;1020658;1060130;1029745;;;
;Nichtdeutsche;744847;739420;708171;683346;701351;704243;735720;810431;979844;1116098;1274274;1534055;2242365;1994262;1614975;;;
;zusammen;1883833;1874676;1777866;1714991;1757959;1786030;1802300;1860246;2071469;2177858;2332014;2575440;3263023;3054392;2644720;;;
;;;;;;;;;;;;;;;;;;;
Nachrichtlich:;;;;;;;;;;;;;;;;;;;
Früheres Bundesgebiet;Deutsche;888167;887581;823133;791121;807356;823597;800287;786692;819969;795362;793986;780300;771973;791609;772058;;;
 ohne Berlin;Nichtdeutsche;639891;634755;610907;590095;605971;606467;627297;693185;842339;959110;1092348;1310039;1890959;1675458;1360929;;;
;zusammen;1528058;1522336;1434040;1381216;1413327;1430064;1427584;1479877;1662308;1754472;1886334;2090339;2662932;2467067;2132987;;;
;;;;;;;;;;;;;;;;;;;
Neue Länder ohne Berlin;Deutsche;179217;178262;175816;166845;170378;174749;178469;176816;184356;181181;181746;183800;180245;186350;183968;;;
;Nichtdeutsche;60417;58811;50928;48037;47307;48573;52395;55784;65941;77628;94468;126729;237068;185387;149635;;;
;zusammen;239634;237073;226744;214882;217685;223322;230864;232600;250297;258809;276214;310529;417313;371737;333603;;;
;;;;;;;;;;;;;;;;;;;
"* Einschl. Herkunfts-/Zielgebiet  ""ungeklärt"" und ""ohne Angabe"".";;;;;;;;;;;;;;;;;;;
"1 Die Ergebnisse des Berichtsjahres 2016 sind aufgrund methodischer Änderungen und technischer Weiterentwicklungen nur bedingt mit den 
   Vorjahreswerten vergleichbar. Die Genauigkeit der Ergebnisse ist aufgrund von Unstimmigkeiten in Zusammenhang mit der melderechtlichen
   Behandlung von Schutzsuchenden eingeschränkt. Genauere Informationen dazu finden Sie in den Vorbemerkungen.";;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
"2 Die Ergebnisse des Berichtsjahres 2017 sind aufgrund methodischer Änderungen und technischer Weiterentwicklungen nur bedingt mit den 
   Vorjahreswerten vergleichbar. Genauere Informationen dazu finden Sie in den Vorbemerkungen.";;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
a Überhöhte Außenwanderungszahlen auf Grund von statistischen Korrekturen.;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
